image_path,dataset,original_class,mapped_class,background,split,is_duplicate
data\raw\riceleafbd\Bacterial Leaf Blight\310002278_817225236263649_3961895793977925231_n (1).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310002278_817225236263649_3961895793977925231_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310006532_887017432263227_516046070358667000_n (1).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310011901_727491482067925_2927973224257730841_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310061159_1771194393257497_6100627014383132732_n (1).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310067670_1460212497800616_8263437998853540163_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,val,False
data\raw\riceleafbd\Bacterial Leaf Blight\310068205_3277307199265837_3560960330579466291_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310068205_818588019449923_3913899021171820655_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310068882_691272839033182_5139952364170529372_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310071915_444203177660926_6518706998211739864_n (1).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310071915_444203177660926_6518706998211739864_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,val,False
data\raw\riceleafbd\Bacterial Leaf Blight\310073451_670400287776430_8623490334686936705_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310073971_435370668776339_6035196133024949050_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,test,False
data\raw\riceleafbd\Bacterial Leaf Blight\310077906_1096335294401000_358816161487578227_n (1).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310077906_1096335294401000_358816161487578227_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310078353_660589472106425_3907303379127533192_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310090711_874207533939594_3235125099262747986_n (1).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310099266_1114310669474495_1151059898472155262_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310103066_1336526506753515_6186056900445065534_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,val,False
data\raw\riceleafbd\Bacterial Leaf Blight\310106462_1093880197983588_1411787509327726484_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310108465_1274344353360521_4050189809060602811_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310111298_562164032386723_1187157458750245682_n (1).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,val,False
data\raw\riceleafbd\Bacterial Leaf Blight\310111298_562164032386723_1187157458750245682_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310114150_1326246238112132_6368990570522175941_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310116581_5529911123723324_4187199742885998953_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310117662_659620325688598_7388704243788229374_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,val,False
data\raw\riceleafbd\Bacterial Leaf Blight\310118366_792036068554166_3778291304245694531_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,test,False
data\raw\riceleafbd\Bacterial Leaf Blight\310155672_615122330405118_141836114081908699_n (1).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,test,False
data\raw\riceleafbd\Bacterial Leaf Blight\310186129_1587918904994279_3358023107928269316_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,test,False
data\raw\riceleafbd\Bacterial Leaf Blight\310204379_844905173419386_2433971113517325536_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310206284_656083739226753_3914532778220688758_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,test,False
data\raw\riceleafbd\Bacterial Leaf Blight\310227896_2359522557534803_874180533767999718_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,val,False
data\raw\riceleafbd\Bacterial Leaf Blight\310242655_462324529121851_7634462214048329274_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,test,False
data\raw\riceleafbd\Bacterial Leaf Blight\310245436_530123098626208_7344551422469112740_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310246564_645862093898606_4326219695700720633_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310252428_829038964986259_6100403909234475320_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310271125_854878082364909_969723976098953938_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,test,False
data\raw\riceleafbd\Bacterial Leaf Blight\310287299_803094234309195_4665509542057031227_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310290439_684785263013773_6826715026678719745_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310298902_1613877562348531_1007280443627564728_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,val,False
data\raw\riceleafbd\Bacterial Leaf Blight\310301288_829532258098749_271686150820095018_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,val,False
data\raw\riceleafbd\Bacterial Leaf Blight\310321695_687983289408936_7725850286696211803_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310335563_689649512083368_5156866007167643059_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,val,False
data\raw\riceleafbd\Bacterial Leaf Blight\310346992_1108086863410406_8151012851109379531_n (1).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310348568_1576915136115241_4061210897780894592_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310348569_496418645770619_1973838462801256641_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310398982_1743511802696734_8223560625839530939_n (1).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310398982_1743511802696734_8223560625839530939_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310399369_540025967958207_1299660027449913615_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310399965_525487952452987_1097327620810210042_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,test,False
data\raw\riceleafbd\Bacterial Leaf Blight\310406638_441712651261553_8445621227755511487_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310408699_496897225830087_237703061076680073_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310408699_822627472279758_1254045115159679670_n (1).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310408699_822627472279758_1254045115159679670_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310415196_863381368363076_2835015746818951626_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310421506_682212046823295_7959506462679908202_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310425396_1159231851666855_6998416759931708991_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310431608_945940750126887_1669829760117063812_n (1).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310431608_945940750126887_1669829760117063812_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,test,False
data\raw\riceleafbd\Bacterial Leaf Blight\310448020_682310889868060_4681830072878013283_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310464016_1164415064492054_7219545344180247598_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310464616_851545286273413_4316228521924337719_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310469690_2436748673143286_2677182688110486122_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310487840_1291281128080362_8434485632634687911_n (1).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310487840_1291281128080362_8434485632634687911_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310488167_3283636195219120_6710492829285452029_n (1).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,test,False
data\raw\riceleafbd\Bacterial Leaf Blight\310488167_3283636195219120_6710492829285452029_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,test,False
data\raw\riceleafbd\Bacterial Leaf Blight\310543147_457255739652955_3429368353373351621_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310551734_1878080685878412_6304500458457326559_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310553566_2995830284047527_316969068202881531_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,test,False
data\raw\riceleafbd\Bacterial Leaf Blight\310559329_690131362347145_6658353345499358807_n (1).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310559329_690131362347145_6658353345499358807_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310559970_1213671542697262_8535261898640007138_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310572527_877480326964706_6234914540895705397_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310600434_509085124429604_8918712258124914972_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310614783_415402003974119_8541969504061395281_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310618161_749865946301961_566346251077039014_n (1).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,val,False
data\raw\riceleafbd\Bacterial Leaf Blight\310640932_1155806921733557_1536466671256326621_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,test,False
data\raw\riceleafbd\Bacterial Leaf Blight\310644021_808218650294002_2396455372290571328_n (1).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,val,False
data\raw\riceleafbd\Bacterial Leaf Blight\310644021_808218650294002_2396455372290571328_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310646560_492327916186305_3033082180337223512_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,test,False
data\raw\riceleafbd\Bacterial Leaf Blight\310648809_1276299019880335_3987705849652034683_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310670396_429378569378476_2079842306408630720_n (1).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310670396_429378569378476_2079842306408630720_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,val,False
data\raw\riceleafbd\Bacterial Leaf Blight\310671193_651962683328428_2392190712301200676_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,test,False
data\raw\riceleafbd\Bacterial Leaf Blight\310674255_5604488246310964_3622111877303547733_n (1).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310674255_5604488246310964_3622111877303547733_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310719042_561579772636310_4450666158229352919_n (1).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310719042_561579772636310_4450666158229352919_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310732056_882974596404588_3333536589152760246_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310773473_503921111704958_8483945229256166615_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310776944_2271192576395292_6697039548256478756_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310786053_1525316674560353_7049264138852649689_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310793904_3186523691659403_5383376354122925282_n (1).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310800911_1086292778725443_5354534637381279077_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310806656_1155600812023590_376145728074683356_n (1).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310806656_1155600812023590_376145728074683356_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310807976_811879566593115_3526807662723242232_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310816588_683444686539952_5848690206784441184_n (1).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310816588_683444686539952_5848690206784441184_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,test,False
data\raw\riceleafbd\Bacterial Leaf Blight\310824213_855040892191393_2275687619532873530_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310828816_690325272284589_9142632844752404553_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310828818_502045418606703_6319544330287836103_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310828818_801077407864911_6593082883199240119_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310839695_5693966490642265_4289994576722985164_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310852417_3265459660435599_1909107167551415250_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310853518_1159479021645279_1488304423547265573_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,val,False
data\raw\riceleafbd\Bacterial Leaf Blight\310854028_435802855205808_7539885840348190946_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310860211_1195211697757300_6481156105053704010_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,test,False
data\raw\riceleafbd\Bacterial Leaf Blight\310899607_1814307275582501_3557432218080740998_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310910786_497041972358154_3724793616908977131_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310939144_520951129667148_9028737506706713083_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310957993_531393051801796_7180472141142317761_n (1).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,test,False
data\raw\riceleafbd\Bacterial Leaf Blight\310959560_1164934114442829_2311022066141502967_n (1).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,val,False
data\raw\riceleafbd\Bacterial Leaf Blight\310959560_1164934114442829_2311022066141502967_n (2).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310959560_1164934114442829_2311022066141502967_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310962820_3246774055651160_4343341207776874939_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,val,False
data\raw\riceleafbd\Bacterial Leaf Blight\310973863_659588705790448_79279918050844787_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310974891_450883127170242_460585121222718338_n (1).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310974891_450883127170242_460585121222718338_n (2).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310974891_450883127170242_460585121222718338_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310974927_491049266314337_8022843233606053562_n (1).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310974927_491049266314337_8022843233606053562_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310974928_1248138435919353_5243267489632069214_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310986458_1422967054894315_2215338726885638584_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310986470_827527985246219_5182457811937271935_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310987026_3261889310716732_1126130837070880892_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\310989352_452640626791616_6700188349420952797_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,test,False
data\raw\riceleafbd\Bacterial Leaf Blight\310989352_840479063762307_7205381542363703990_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\311006291_1283093285821857_4533140281566325969_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,test,False
data\raw\riceleafbd\Bacterial Leaf Blight\311024973_1610391142753270_631261596346559709_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\311039233_647379983529818_3179780877140814952_n (1).jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\311039233_647379983529818_3179780877140814952_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\311120128_827872505301907_5738768674890653677_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\311127088_3070769586478834_593695714921536743_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,val,False
data\raw\riceleafbd\Bacterial Leaf Blight\311146649_1109249426367992_2020093549392706267_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\311150408_1181671116062665_4258769257725963297_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
data\raw\riceleafbd\Bacterial Leaf Blight\311155755_667001898417987_5463193008355939533_n.jpg,riceleafbd,Bacterial Leaf Blight,bacterial_leaf_blight,,train,False
